"key"	"dataValue"	"taxonId"	"origTaxonId"	"prefTaxonName"	"origTaxon"	"origQualifier"
"Potamogeton epihydrus Raf."		"2cd4p9h.94b"	"2cd4p9h.94b"	"Potamogeton epihydrus Raf."	"Potamogeton epihydrus"	
"Potentilla norvegica L."		"2cd4p9h.94h"	"2cd4p9h.94h"	"Potentilla norvegica L."	"Potentilla norvegica"	
"Pseudotsuga menziesii (Mirb.) Franco"		"2cd4p9h.954"	"2cd4p9h.954"	"Pseudotsuga menziesii (Mirb.) Franco"	"Pseudotsuga menziesii"	
"Quercus cerris x suber = Q. x crenata Lam."		"2cd4p9h.95m"	"2cd4p9h.95m"	"Quercus cerris x suber = Q. x crenata Lam."	"Quercus cerris x suber = Q. x crenata"	
"Rosa rugosa Thunb."		"2cd4p9h.96f"	"2cd4p9h.96f"	"Rosa rugosa Thunb."	"Rosa rugosa"	
"Sagittaria rigida Pursh"		"2cd4p9h.96z"	"2cd4p9h.96z"	"Sagittaria rigida Pursh"	"Sagittaria rigida"	
"Salix caprea x cinerea x viminalis = S. x calodendron Wimm."		"2cd4p9h.975"	"2cd4p9h.975"	"Salix caprea x cinerea x viminalis = S. x calodendron Wimm."	"Salix caprea x cinerea x viminalis = S. x calodendron"	
"Sambucus ebulus L."		"2cd4p9h.97h"	"2cd4p9h.97h"	"Sambucus ebulus L."	"Sambucus ebulus"	
"Saxifraga hirsuta x spathularis = S. x polita (Haw.) Link"		"2cd4p9h.981"	"2cd4p9h.981"	"Saxifraga hirsuta x spathularis = S. x polita (Haw.) Link"	"Saxifraga hirsuta x spathularis = S. x polita"	
"Senecio viscosus L."		"2cd4p9h.990"	"2cd4p9h.990"	"Senecio viscosus L."	"Senecio viscosus"	
"Sinapis arvensis L."		"2cd4p9h.99f"	"2cd4p9h.99f"	"Sinapis arvensis L."	"Sinapis arvensis"	
"Sisymbrium altissimum L."		"2cd4p9h.99v"	"2cd4p9h.99v"	"Sisymbrium altissimum L."	"Sisymbrium altissimum"	
"Sisymbrium officinale (L.) Scop."		"2cd4p9h.99x"	"2cd4p9h.99x"	"Sisymbrium officinale (L.) Scop."	"Sisymbrium officinale"	
"Sisymbrium orientale L."		"2cd4p9h.99y"	"2cd4p9h.99y"	"Sisymbrium orientale L."	"Sisymbrium orientale"	
"Solanum triflorum Nutt."		"2cd4p9h.9a2"	"2cd4p9h.9a2"	"Solanum triflorum Nutt."	"Solanum triflorum"	
"Trifolium incarnatum L. subsp. incarnatum"		"2cd4p9h.9bw"	"2cd4p9h.9bw"	"Trifolium incarnatum L. subsp. incarnatum"	"Trifolium incarnatum subsp. incarnatum"	
"Vicia tenuifolia Roth"		"2cd4p9h.9cy"	"2cd4p9h.9cy"	"Vicia tenuifolia Roth"	"Vicia tenuifolia"	
"Viola arvensis Murray"		"2cd4p9h.9cr"	"2cd4p9h.9cr"	"Viola arvensis Murray"	"Viola arvensis"	
"Gaultheria mucronata (L.f.) Hook. & Arn."		"2cd4p9h.9d8"	"2cd4p9h.9d8"	"Gaultheria mucronata (L.f.) Hook. & Arn."	"Gaultheria mucronata"	
"Alchemilla mollis (Buser) Rothm."		"2cd4p9h.9db"	"2cd4p9h.9db"	"Alchemilla mollis (Buser) Rothm."	"Alchemilla mollis"	
"Spartina anglica C.E.Hubb."		"2cd4p9h.9dk"	"2cd4p9h.9dk"	"Spartina anglica C.E.Hubb."	"Spartina anglica"	
"Larix decidua x kaempferi = L. x marschlinsii Coaz"		"2cd4p9h.9dn"	"2cd4p9h.9dn"	"Larix decidua x kaempferi = L. x marschlinsii Coaz"	"Larix decidua x kaempferi = L. x marschlinsii"	
