id	relatedResourceID	relationshipOfResource
6396	6395	hybrid parent of
6410	6400	hybrid parent of
6410	6405	hybrid parent of
6412	6405	hybrid parent of
6412	6406	hybrid parent of
6422	6415	hybrid parent of
6422	6416	hybrid parent of
6459	6454	hybrid parent of
6459	6456	hybrid parent of
6579	6576	hybrid parent of
6579	6578	hybrid parent of
6580	6577	hybrid parent of
6580	6578	hybrid parent of
6581	6574	hybrid parent of
6581	6577	hybrid parent of
6582	6575	hybrid parent of
6582	6578	hybrid parent of
6589	6585	hybrid parent of
6589	6588	hybrid parent of
6590	6583	hybrid parent of
6590	6588	hybrid parent of
6696	6693	hybrid parent of
6696	6694	hybrid parent of
6697	6691	hybrid parent of
6697	6693	hybrid parent of
6716	6713	hybrid parent of
6716	6715	hybrid parent of
6750	6745	hybrid parent of
6750	6748	hybrid parent of
6794	6765	hybrid parent of
6794	6783	hybrid parent of
6795	6762	hybrid parent of
6795	6769	hybrid parent of
6865	6856	hybrid parent of
6865	6860	hybrid parent of
6866	6859	hybrid parent of
6866	6862	hybrid parent of
6929	6920	hybrid parent of
6929	6927	hybrid parent of
6930	6920	hybrid parent of
6930	6921	hybrid parent of
6933	6921	hybrid parent of
6933	6927	hybrid parent of
6934	6904	hybrid parent of
6934	6908	hybrid parent of
6950	6939	hybrid parent of
6950	6946	hybrid parent of
6952	6943	hybrid parent of
6952	6949	hybrid parent of
7097	7096	hybrid parent of
7097	7098	hybrid parent of
7172	7170	hybrid parent of
7172	7173	hybrid parent of
7175	7174	hybrid parent of
7175	7177	hybrid parent of
7179	7173	hybrid parent of
7179	7178	hybrid parent of
7198	7181	hybrid parent of
7198	7185	hybrid parent of
7205	7203	hybrid parent of
7205	7204	hybrid parent of
7253	7251	hybrid parent of
7253	7252	hybrid parent of
7397	7388	hybrid parent of
7397	7393	hybrid parent of
7490	7486	hybrid parent of
7490	7496	hybrid parent of
7620	7735	hybrid parent of
7620	7615	hybrid parent of
7621	7587	hybrid parent of
7621	7615	hybrid parent of
7622	7587	hybrid parent of
7622	7609	hybrid parent of
7623	7598	hybrid parent of
7623	7609	hybrid parent of
7624	7592	hybrid parent of
7624	7609	hybrid parent of
7625	7583	hybrid parent of
7625	7600	hybrid parent of
7691	7653	hybrid parent of
7691	7676	hybrid parent of
7705	7698	hybrid parent of
7705	7701	hybrid parent of
7712	7694	hybrid parent of
7712	7710	hybrid parent of
7745	7744	hybrid parent of
7745	7750	hybrid parent of
8013	7384	hybrid parent of
8013	7917	hybrid parent of
8014	7419	hybrid parent of
8014	7572	hybrid parent of
8015	7863	hybrid parent of
8015	7572	hybrid parent of
8022	7821	hybrid parent of
8022	7936	hybrid parent of
8146	8145	hybrid parent of
8146	8156	hybrid parent of
8175	8173	hybrid parent of
8175	8176	hybrid parent of
8232	8214	hybrid parent of
8232	8224	hybrid parent of
8233	8221	hybrid parent of
8233	8228	hybrid parent of
8234	8208	hybrid parent of
8234	8215	hybrid parent of
8271	8262	hybrid parent of
8271	8268	hybrid parent of
8324	8311	hybrid parent of
8324	8312	hybrid parent of
8325	8304	hybrid parent of
8325	8306	hybrid parent of
8326	8290	hybrid parent of
8326	8312	hybrid parent of
8327	8301	hybrid parent of
8327	8318	hybrid parent of
8328	8321	hybrid parent of
8328	8336	hybrid parent of
8329	8290	hybrid parent of
8329	8301	hybrid parent of
8330	8301	hybrid parent of
8330	8311	hybrid parent of
8332	8305	hybrid parent of
8332	8306	hybrid parent of
8334	8301	hybrid parent of
8334	8305	hybrid parent of
8335	8301	hybrid parent of
8335	8304	hybrid parent of
8407	8405	hybrid parent of
8407	8406	hybrid parent of
8414	8409	hybrid parent of
8414	8413	hybrid parent of
8568	8537	hybrid parent of
8568	8550	hybrid parent of
8627	8619	hybrid parent of
8627	8622	hybrid parent of
8628	8618	hybrid parent of
8628	8619	hybrid parent of
8638	8636	hybrid parent of
8638	8637	hybrid parent of
8779	8763	hybrid parent of
8779	8772	hybrid parent of
8780	8765	hybrid parent of
8780	8776	hybrid parent of
8856	8797	hybrid parent of
8856	8843	hybrid parent of
8857	9773	hybrid parent of
8857	8838	hybrid parent of
8919	8889	hybrid parent of
8919	8918	hybrid parent of
8951	8934	hybrid parent of
8951	8940	hybrid parent of
8952	8921	hybrid parent of
8952	8945	hybrid parent of
8988	8978	hybrid parent of
8988	8973	hybrid parent of
8991	8638	hybrid parent of
8991	8965	hybrid parent of
8992	8638	hybrid parent of
8992	8963	hybrid parent of
9031	9009	hybrid parent of
9031	9029	hybrid parent of
9054	9043	hybrid parent of
9054	9046	hybrid parent of
9056	9043	hybrid parent of
9056	9044	hybrid parent of
9057	9046	hybrid parent of
9057	9051	hybrid parent of
9058	9042	hybrid parent of
9058	9828	hybrid parent of
9059	9042	hybrid parent of
9059	9053	hybrid parent of
9060	9044	hybrid parent of
9060	9046	hybrid parent of
9061	9042	hybrid parent of
9061	9049	hybrid parent of
9062	9049	hybrid parent of
9062	9053	hybrid parent of
9073	9072	hybrid parent of
9073	9137	hybrid parent of
9088	9087	hybrid parent of
9088	9138	hybrid parent of
9106	9066	hybrid parent of
9106	9845	hybrid parent of
9171	9084	hybrid parent of
9171	9087	hybrid parent of
9172	9111	hybrid parent of
9172	9128	hybrid parent of
9175	9083	hybrid parent of
9175	9165	hybrid parent of
9176	9079	hybrid parent of
9176	9087	hybrid parent of
9178	9137	hybrid parent of
9178	9138	hybrid parent of
9179	9066	hybrid parent of
9179	9124	hybrid parent of
9180	9097	hybrid parent of
9180	9128	hybrid parent of
9182	9097	hybrid parent of
9182	9138	hybrid parent of
9183	9075	hybrid parent of
9183	9845	hybrid parent of
9185	9124	hybrid parent of
9185	9131	hybrid parent of
9188	9089	hybrid parent of
9188	9170	hybrid parent of
9216	9212	hybrid parent of
9216	9213	hybrid parent of
9251	9250	hybrid parent of
9251	9260	hybrid parent of
9423	9421	hybrid parent of
9423	9422	hybrid parent of
9468	9460	hybrid parent of
9468	9465	hybrid parent of
9517	9495	hybrid parent of
9517	9516	hybrid parent of
9559	3529	hybrid parent of
9559	3565	hybrid parent of
9560	3529	hybrid parent of
9560	3546	hybrid parent of
9562	7703	hybrid parent of
9562	7710	hybrid parent of
9584	7587	hybrid parent of
9584	7609	hybrid parent of
9596	8764	hybrid parent of
9596	8599	hybrid parent of
9598	8767	hybrid parent of
9598	8776	hybrid parent of
9599	8771	hybrid parent of
9599	8772	hybrid parent of
9601	9115	hybrid parent of
9601	9168	hybrid parent of
9602	9070	hybrid parent of
9602	9111	hybrid parent of
9603	9069	hybrid parent of
9603	9137	hybrid parent of
9604	9081	hybrid parent of
9604	9137	hybrid parent of
9605	9077	hybrid parent of
9605	9153	hybrid parent of
9608	9077	hybrid parent of
9608	9113	hybrid parent of
9609	9077	hybrid parent of
9609	9105	hybrid parent of
9610	9077	hybrid parent of
9610	9094	hybrid parent of
9611	9100	hybrid parent of
9611	9140	hybrid parent of
9613	9116	hybrid parent of
9613	9157	hybrid parent of
9614	9138	hybrid parent of
9614	9143	hybrid parent of
9615	9138	hybrid parent of
9615	9140	hybrid parent of
9616	9143	hybrid parent of
9616	9157	hybrid parent of
9618	9087	hybrid parent of
9618	9130	hybrid parent of
9619	9087	hybrid parent of
9619	9140	hybrid parent of
9620	9087	hybrid parent of
9620	9143	hybrid parent of
9621	9084	hybrid parent of
9621	9153	hybrid parent of
9622	9063	hybrid parent of
9622	9084	hybrid parent of
9623	9063	hybrid parent of
9623	9138	hybrid parent of
9624	9078	hybrid parent of
9624	9094	hybrid parent of
9625	9071	hybrid parent of
9625	9137	hybrid parent of
9626	9108	hybrid parent of
9626	9120	hybrid parent of
9633	9044	hybrid parent of
9633	9045	hybrid parent of
9744	8889	hybrid parent of
9744	8911	hybrid parent of
9801	9048	hybrid parent of
9801	9053	hybrid parent of
9804	8291	hybrid parent of
9804	8301	hybrid parent of
9812	8527	hybrid parent of
9812	8534	hybrid parent of
9827	3364	hybrid parent of
9827	3366	hybrid parent of
9846	9144	hybrid parent of
9846	9156	hybrid parent of
9847	9069	hybrid parent of
9847	9115	hybrid parent of
9848	9069	hybrid parent of
9848	9144	hybrid parent of
9849	9092	hybrid parent of
9849	9137	hybrid parent of
9850	9083	hybrid parent of
9850	9150	hybrid parent of
9851	9132	hybrid parent of
9851	9160	hybrid parent of
9852	9109	hybrid parent of
9852	9132	hybrid parent of
9853	9111	hybrid parent of
9853	9137	hybrid parent of
9854	9076	hybrid parent of
9854	9111	hybrid parent of
9855	9080	hybrid parent of
9855	9113	hybrid parent of
9856	9077	hybrid parent of
9856	9078	hybrid parent of
9857	9612	hybrid parent of
9857	9146	hybrid parent of
9858	9083	hybrid parent of
9858	9165	hybrid parent of
9859	9079	hybrid parent of
9859	9140	hybrid parent of
9860	9087	hybrid parent of
9860	9612	hybrid parent of
9861	9063	hybrid parent of
9861	9143	hybrid parent of
3713	3685	hybrid parent of
3713	3703	hybrid parent of
3717	3696	hybrid parent of
3717	3697	hybrid parent of
6931	6916	hybrid parent of
6931	6920	hybrid parent of
20371	8929	hybrid parent of
20371	8927	hybrid parent of
8725	8721	hybrid parent of
8725	8668	hybrid parent of
8379	8378	hybrid parent of
9791	8371	hybrid parent of
9791	8377	hybrid parent of
9975	2521	hybrid parent of
9975	2520	hybrid parent of
8781	8768	hybrid parent of
8781	8772	hybrid parent of
8724	23982	hybrid parent of
8724	8689	hybrid parent of
7792	7780	hybrid parent of
7792	7787	hybrid parent of
7619	7604	hybrid parent of
7619	7610	hybrid parent of
7754	7750	hybrid parent of
7754	7753	hybrid parent of
8020	7598	hybrid parent of
8020	7749	hybrid parent of
9701	7593	hybrid parent of
9701	7750	hybrid parent of
9703	7609	hybrid parent of
9703	7750	hybrid parent of
9582	7750	hybrid parent of
9582	7610	hybrid parent of
8018	7726	hybrid parent of
8018	7616	hybrid parent of
7618	7749	hybrid parent of
7618	7814	hybrid parent of
9702	7749	hybrid parent of
9702	7609	hybrid parent of
5158	4908	hybrid parent of
5158	5138	hybrid parent of
25236	6315	hybrid parent of
25236	6275	hybrid parent of
4148	4143	hybrid parent of
4148	4146	hybrid parent of
7914	7841	hybrid parent of
7914	7894	hybrid parent of
