family,genus,rn.bl,bn.bl,nspp_in_genera,div_rate_basal_age_upper,div_rate_basal_age_lower,div_rate_root_age_upper,div_rate_root_age_lower,hyb_present,neo_present,type
Gentianaceae,Tripterospermum,4.914941,4.914941,36,0.7291072137907881,0.30602145514590595,0.7291072137907881,0.30602145514590595,no hybrid,no neophyte,no hybrid & no neophyte
Gentianaceae,Crawfurdia,4.914941,4.914941,22,0.628907336498712,0.23019647875551313,0.628907336498712,0.23019647875551313,no hybrid,no neophyte,no hybrid & no neophyte
Gentianaceae,Centaurium,5.49335399999995,3.532271,49,1.1017898394858794,0.4976565834140057,0.708459767586553,0.31999720344845595,hybrid,neophyte,hybrid & neophyte
Gentianaceae,Sabatia,5.493355,5.493355,21,0.5542191316096307,0.19998931229969838,0.5542191316096307,0.19998931229969838,no hybrid,neophyte,no hybrid & neophyte
Gentianaceae,Cicendia,8.723921,8.723921,2,0.07945362877081821,0.010925153930706723,0.07945362877081821,0.010925153930706723,no hybrid,neophyte,no hybrid & neophyte
Gentianaceae,Blackstonia,12.064913,12.064913,6,0.14850993697410456,0.03360696493279018,0.14850993697410456,0.03360696493279018,no hybrid,neophyte,no hybrid & neophyte
Gentianaceae,Macrocarpaea,18.885208,1.463859,122,3.2817512101460977,1.7574180506504422,0.25438009709679965,0.13622366405533398,hybrid,no neophyte,hybrid & no neophyte
Gentianaceae,Pycnosphaera,19.020729,19.020729,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Gentianaceae,Lisianthius,19.020729,19.020729,34,0.18539565568786356,0.07668554778839007,0.18539565568786356,0.07668554778839007,no hybrid,no neophyte,no hybrid & no neophyte
Loganiaceae,Geniostoma,11.770437,7.621047,62,0.5415442766650163,0.25719494762954087,0.35063561234345775,0.16652693388081255,no hybrid,no neophyte,no hybrid & no neophyte
Loganiaceae,Logania,11.770438,11.770438,24,0.2700030220071628,0.10143398813811638,0.2700030220071628,0.10143398813811638,no hybrid,no neophyte,no hybrid & no neophyte
Loganiaceae,Mitreola,13.631512,13.631512,12,0.18229134448093506,0.05442810340697181,0.18229134448093506,0.05442810340697181,no hybrid,neophyte,no hybrid & neophyte
Loganiaceae,Spigelia,28.9743989999999,4.89503,97,0.9345623986989625,0.48229612507339514,0.1578880369012451,0.08148068924977632,no hybrid,neophyte,no hybrid & neophyte
Loganiaceae,Gardneria,28.9744,28.9744,5,0.055546893548584275,0.011612742166229945,0.055546893548584275,0.011612742166229945,no hybrid,no neophyte,no hybrid & no neophyte
Loganiaceae,Strychnos,35.544778,9.515946,208,0.5609046204866356,0.323384796482285,0.1501637759476601,0.08657565003068562,no hybrid,neophyte,no hybrid & neophyte
Loganiaceae,Antonia,39.488013,39.488013,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Gelsemiaceae,Gelsemium,25.182152,3.143487,3,0.34948841482980836,0.057999780751106844,0.04362662447070091,0.0072401102492731595,no hybrid,neophyte,no hybrid & neophyte
Gelsemiaceae,Mostuea,25.182153,25.182153,11,0.09522201190654234,0.027525334333404497,0.09522201190654234,0.027525334333404497,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Solanum,13.73245,12.514137,1259,0.5704007423000361,0.3869712343730235,0.5197960330490442,0.3526399908248801,hybrid,neophyte,hybrid & neophyte
Solanaceae,Jaltomata,15.314492,2.589277,71,1.6462819068957533,0.8030973672109379,0.2783428844418291,0.13578260001571293,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Iochroma,5.99802099999999,5.993402,41,0.6196100422938938,0.2685349510068072,0.6191328884484256,0.2683281556423532,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Dunalia,2.59511899999995,2.584496,5,0.6227279564116563,0.1301887240766528,0.6201788482278197,0.129655802535922,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Saracha,2.59511899999995,1.61313,8,1.2890725122462763,0.3289432662353129,0.8012894752340357,0.20447164506220347,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Eriolarynx,3.09064699999993,2.532099,4,0.5474882147656511,0.10361532644161657,0.4485450331661694,0.08488975430306238,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Vassobia,3.09064699999993,1.947014,2,0.3560052370244617,0.048951974564294315,0.2242725165830847,0.030838261310439884,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Chamaesaracha,6.27345399999996,1.528931,12,1.6252575490901815,0.4852654205646802,0.396098648334397,0.11826616481596611,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Quincula,6.273455,6.273455,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Leucophysalis,6.52937799999995,6.103551,2,0.11356457586083007,0.015615529354030945,0.10615822526432848,0.014597130048884544,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Oryctes,6.828903,6.828903,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Witheringia,7.30138599999998,7.159524,18,0.4037100452343151,0.13873153760086332,0.3958661763528421,0.13603605849769976,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Physalis,7.524114,7.516156,105,0.6191942197790364,0.32378430615336484,0.6185393190689991,0.323441850482389,hybrid,neophyte,hybrid & neophyte
Solanaceae,Brachistus,8.280087,8.280087,3,0.13268124944437296,0.022019280328087688,0.13268124944437296,0.022019280328087688,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Withania,8.18079599999999,5.032939,20,0.5952252299409929,0.21154850813658346,0.3661908050945158,0.13014757206907854,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Tubocapsicum,8.327342,8.327342,2,0.08323750610458239,0.011445450397536805,0.08323750610458239,0.011445450397536805,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Deprea,10.266533,3.02697,54,1.317814199203915,0.6080501734069009,0.38854246575394774,0.17927664903015328,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Athenaea,0.409816999999975,0.33186,7,5.863647770310713,1.4162708046939538,4.7482416518969,1.1468622073895522,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Cuatresia,14.241394,3.161728,17,0.8960964839657984,0.3022117794533357,0.19894213614595707,0.06709395477910633,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Salpichroa,8.99555400000003,8.986104,20,0.3333738707624562,0.1184841324997383,0.33302365519166255,0.11835966267251852,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Nectouxia,8.995555,8.995555,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Capsicum,14.2914620000001,11.736032,41,0.3164248416078201,0.13713646251425526,0.2598454984314608,0.11261534421279565,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Lycianthes,14.2914620000001,14.286918,162,0.3561017383337948,0.19871874840386247,0.3559885150471203,0.19865556536543244,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Nothocestrum,17.3930110000001,8.471885,4,0.1636347000838527,0.030968817974688145,0.07970410420138771,0.015084464930625834,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Datura,8.23936400000008,3.145283,14,0.8390524253668933,0.26481214025418504,0.3202986698506381,0.1010890067407018,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Brugmansia,8.23936400000008,5.269,9,0.4170097888282823,0.11155563957147825,0.2666740512175695,0.07133883936941167,hybrid,neophyte,hybrid & neophyte
Solanaceae,Protoschwenkia,15.950449,15.950449,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Markea,6.54799000000008,6.540942,21,0.465456265737171,0.1679593380690594,0.46495526684118116,0.16777855321527615,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Trianaea,6.54799000000008,6.510133,3,0.1687542003624365,0.028005811370359807,0.16777855321527618,0.02784389664522279,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Merinthopodium,5.47107800000009,5.001795,3,0.21964360567918312,0.03645122536888348,0.2008036238321025,0.0333246129545131,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Dyssochroma,4.603274,4.603274,3,0.23865889553133482,0.03960693123936455,0.23865889553133482,0.03960693123936455,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Schultesianthus,8.8780660000001,5.544544,8,0.3750428424194732,0.09570277574894712,0.2342223567249683,0.05976845081599577,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Juanulloa,8.96103600000009,8.943293,9,0.24568406484459576,0.06572374011475626,0.2451976063187557,0.06559360601855779,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Solandra,8.96103600000009,5.92185,11,0.4049233386185686,0.11704909454983578,0.26759130002360737,0.07735123266550185,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Exodeconus,15.8248090000001,1.383009,6,1.295551561289952,0.2931760444857296,0.11322471375345154,0.025622117025751266,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Nicandra,15.82481,15.82481,3,0.06942341100260349,0.011521247761834398,0.06942341100260349,0.011521247761834398,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Mandragora,19.5695470000001,5.189421,4,0.26713854226124467,0.05055752163246938,0.07083936900122846,0.01340676227546246,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Nolana,10.1103210000001,6.211204,70,0.6840051046543245,0.33276362513177404,0.42021368481270943,0.20443097300995242,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Lycium,4.05880400000007,3.982443,132,1.2260820613343042,0.6644601811963468,1.20301495775265,0.6519592464637556,hybrid,neophyte,hybrid & neophyte
Solanaceae,Hyoscyamus,5.9837050000001,4.904974,34,0.7189356201717199,0.29737466961079034,0.5893272687433794,0.24376452761282388,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Physochlaina,4.64311600000008,3.511077,10,0.6558059230811646,0.18280826258506855,0.4959137555456306,0.13823774512038545,no hybrid,no neophyte,no hybrid & no neophyte
